80 m
10.33;1f1;;16.08.2020;Bern;Die schnällschte Mittuländer;Limite erfüllt
10.38;2f1;0.0;29.08.2020;Hochdorf;SVM Nachwuchs Meeting U16 / U18;Limite erfüllt
10.43;2f;;22.08.2020;Huttwil;BE Kantonalfinal Sprint;Limite erfüllt
10.46;1h2;;16.08.2020;Bern;Die schnällschte Mittuländer; 
10.52;5 2;-0.3;15.07.2020;Langenthal;Nachwuchs Abendmeeting; 
10.56;2h1;;22.08.2020;Huttwil;BE Kantonalfinal Sprint; 
10.57;;;03.07.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
10.7;;;24.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
10.7;;;24.06.2020;ganze Schweiz;Swiss Athletics Junior Challenge; 
